temp order chi cb u
5 0.169614 0.203905 0.149863 0.0565124 
4.93797 0.171066 0.210164 0.157653 0.0571982 
4.87595 0.172881 0.21625 0.167978 0.0596716 
4.81392 0.174364 0.223332 0.178336 0.0581665 
4.7519 0.176173 0.229581 0.187884 0.062047 
4.68987 0.178741 0.238744 0.200642 0.0709493 
4.62785 0.180356 0.245908 0.213167 0.0704874 
4.56582 0.183336 0.257061 0.233389 0.0693523 
4.5038 0.184775 0.264488 0.244503 0.0735966 
4.44177 0.186429 0.272723 0.259515 0.0741859 
4.37975 0.189372 0.285571 0.282498 0.0754233 
4.31772 0.192598 0.297634 0.306133 0.079604 
4.2557 0.19548 0.310678 0.330461 0.0855921 
4.19367 0.198097 0.321115 0.355012 0.0877247 
4.13165 0.201375 0.337721 0.388875 0.0879826 
4.06962 0.204579 0.352453 0.422737 0.0919566 
4.00759 0.208117 0.369529 0.460028 0.0972957 
3.94557 0.212235 0.387525 0.500017 0.106489 
3.88354 0.216383 0.409012 0.556889 0.106119 
3.82152 0.221114 0.428694 0.610953 0.114338 
3.75949 0.226071 0.456315 0.685737 0.116517 
3.69747 0.230053 0.477311 0.748745 0.122032 
3.63544 0.237918 0.514218 0.865656 0.129654 
3.57342 0.241794 0.536178 0.937337 0.137452 
3.51139 0.249483 0.57631 1.07728 0.144352 
3.44937 0.257385 0.616004 1.21081 0.159689 
3.38734 0.26583 0.657951 1.37819 0.170898 
3.32532 0.274565 0.702464 1.55286 0.186732 
3.26329 0.286637 0.761093 1.81906 0.204216 
3.20127 0.296571 0.825489 2.11258 0.212601 
3.13924 0.311843 0.898601 2.4997 0.234552 
3.07722 0.327731 0.988949 2.98296 0.254218 
3.01519 0.340321 1.04742 3.36506 0.273807 
2.95316 0.35715 1.14814 4.004 0.291152 
2.89114 0.381829 1.24911 4.77419 0.324602 
2.82911 0.408791 1.36977 5.77484 0.355435 
2.76709 0.435075 1.47012 6.75467 0.384606 
2.70506 0.467823 1.57844 8.03862 0.416648 
2.64304 0.503024 1.68255 9.45303 0.447418 
2.58101 0.543455 1.73537 10.7213 0.482296 
2.51899 0.59435 1.74411 12.1213 0.518658 
2.45696 0.638618 1.69713 13.0846 0.546417 
2.39494 0.687362 1.58855 13.723 0.572559 
2.33291 0.736526 1.37677 13.4034 0.596757 
2.27089 0.774345 1.23413 13.2025 0.611506 
2.20886 0.816596 0.970024 11.8428 0.627537 
2.14684 0.851742 0.723286 10.156 0.639196 
2.08481 0.882434 0.521768 8.34941 0.647865 
2.02278 0.905459 0.385429 6.8504 0.653373 
1.96076 0.924305 0.266272 5.46026 0.657484 
1.89873 0.937836 0.204474 4.62128 0.659775 
1.83671 0.950454 0.144429 3.65031 0.661797 
1.77468 0.960955 0.0969129 2.77831 0.66336 
1.71266 0.968767 0.0717561 2.23722 0.664264 
1.65063 0.975243 0.0528783 1.77126 0.66494 
1.58861 0.980568 0.0407142 1.44528 0.665389 
1.52658 0.98498 0.0299851 1.13613 0.665755 
1.46456 0.988547 0.0223139 0.895079 0.666014 
1.40253 0.991275 0.016759 0.710698 0.666197 
1.34051 0.993537 0.0126038 0.562813 0.666329 
1.27848 0.995417 0.00891667 0.421124 0.666439 
1.21646 0.996718 0.00642085 0.321664 0.66651 
1.15443 0.99779 0.00445064 0.235754 0.666564 
1.09241 0.998504 0.00303996 0.170477 0.6666 
1.03038 0.999061 0.00200247 0.119704 0.666625 
0.968354 0.999438 0.00127479 0.081274 0.666642 
0.906329 0.999697 0.000699319 0.0477334 0.666654 
0.844304 0.999834 0.000406533 0.0299219 0.66666 
0.782278 0.999924 0.000197663 0.0156315 0.666664 
0.720253 0.99997 8.2358e-05 0.00707831 0.666665 
0.658228 0.999984 4.74522e-05 0.00444503 0.666666 
0.596203 0.999996 1.20541e-05 0.00125968 0.666667 
0.534177 1 1.17001e-06 0.00014018 0.666667 
0.472152 1 0 0 0.666667 
0.410127 1 0 0 0.666667 
0.348101 1 0 0 0.666667 
0.286076 1 0 0 0.666667 
0.224051 1 0 0 0.666667 
0.162025 1 0 0 0.666667 
0.1 1 0 0 0.666667 
