temp order chi cb u
5 0.398361 0.000383827 0.173701 0.650862 
4.93797 0.400272 0.000386739 0.179294 0.651075 
4.87595 0.402574 0.000387112 0.184166 0.651418 
4.81392 0.404751 0.000389388 0.189278 0.651698 
4.7519 0.406842 0.000390561 0.194729 0.65197 
4.68987 0.40902 0.000396873 0.20235 0.65209 
4.62785 0.411275 0.00039639 0.207475 0.652455 
4.56582 0.41361 0.000401783 0.215657 0.652619 
4.5038 0.415841 0.000402894 0.222225 0.652893 
4.44177 0.418149 0.00040548 0.229202 0.653157 
4.37975 0.420479 0.000409161 0.236761 0.653384 
4.31772 0.422936 0.000412389 0.245525 0.653595 
4.2557 0.425273 0.0004158 0.25398 0.653812 
4.19367 0.427331 0.000418651 0.262175 0.654034 
4.13165 0.429735 0.000421147 0.270914 0.654293 
4.06962 0.431964 0.000424388 0.279847 0.654505 
4.00759 0.434466 0.000428766 0.290882 0.654695 
3.94557 0.436923 0.000431146 0.300454 0.654951 
3.88354 0.439597 0.000435186 0.311971 0.655174 
3.82152 0.4417 0.000439255 0.323209 0.655352 
3.75949 0.444272 0.000445234 0.337275 0.655518 
3.69747 0.446828 0.000450618 0.350911 0.65569 
3.63544 0.448908 0.000451435 0.361407 0.655944 
3.57342 0.451553 0.00045614 0.375789 0.656139 
3.51139 0.453966 0.000459146 0.38972 0.656364 
3.44937 0.456771 0.000465871 0.407609 0.656524 
3.38734 0.459282 0.000474821 0.428301 0.656612 
3.32532 0.461684 0.000475509 0.441341 0.656884 
3.26329 0.464353 0.000483824 0.462777 0.657025 
3.20127 0.466879 0.000485933 0.479984 0.657252 
3.13924 0.469321 0.000493531 0.50209 0.657391 
3.07722 0.471953 0.00049892 0.524276 0.657564 
3.01519 0.474398 0.000506068 0.547934 0.657725 
2.95316 0.476908 0.000511219 0.57199 0.657904 
2.89114 0.479575 0.000519837 0.600343 0.658041 
2.82911 0.482086 0.000528111 0.630157 0.658182 
2.76709 0.48472 0.00053166 0.656932 0.658393 
2.70506 0.487202 0.000542372 0.692342 0.658504 
2.64304 0.489646 0.000552964 0.730088 0.658615 
2.58101 0.492286 0.000559565 0.766365 0.658789 
2.51899 0.494681 0.000568266 0.803943 0.658942 
2.45696 0.497265 0.000582296 0.854453 0.659023 
2.39494 0.499703 0.000590633 0.897742 0.65918 
2.33291 0.502234 0.00060372 0.953198 0.659283 
2.27089 0.50488 0.000616805 1.01037 0.659401 
2.20886 0.507185 0.00062964 1.07049 0.659521 
2.14684 0.509414 0.000644203 1.13654 0.65962 
2.08481 0.511884 0.000661284 1.21374 0.659708 
2.02278 0.514203 0.000675517 1.29153 0.65983 
1.96076 0.516536 0.00069001 1.37292 0.659959 
1.89873 0.518714 0.000713395 1.47799 0.660009 
1.83671 0.520907 0.00073181 1.58178 0.660115 
1.77468 0.523025 0.000754619 1.70208 0.66019 
1.71266 0.525271 0.000774579 1.82671 0.660306 
1.65063 0.527144 0.000801242 1.97352 0.660371 
1.58861 0.529126 0.000833766 2.15238 0.660408 
1.52658 0.531248 0.000861111 2.33459 0.660501 
1.46456 0.53275 0.000893054 2.53553 0.66057 
1.40253 0.534601 0.000929042 2.77562 0.660636 
1.34051 0.536091 0.000965532 3.03387 0.660707 
1.27848 0.537646 0.00100948 3.34529 0.660761 
1.21646 0.539157 0.00106644 3.73249 0.660768 
1.15443 0.540326 0.00112044 4.15624 0.660806 
1.09241 0.541605 0.00117708 4.63068 0.66087 
1.03038 0.542744 0.00124968 5.23892 0.660888 
0.968354 0.543502 0.00133096 5.95184 0.660898 
0.906329 0.544286 0.00142915 6.86133 0.660881 
0.844304 0.545331 0.00152383 7.88055 0.660942 
0.782278 0.54572 0.00164881 9.21829 0.660934 
0.720253 0.546016 0.00178942 10.8691 0.660951 
0.658228 0.54634 0.00195758 13.0216 0.66096 
0.596203 0.546713 0.00215496 15.8457 0.660983 
0.534177 0.546621 0.00240785 19.761 0.660975 
0.472152 0.546778 0.00272454 25.3358 0.660973 
0.410127 0.546924 0.00313503 33.5538 0.660981 
0.348101 0.546892 0.00369864 46.64 0.660976 
0.286076 0.546922 0.00447363 68.6105 0.661011 
0.224051 0.546847 0.00572596 112.059 0.660995 
0.162025 0.546979 0.00793148 214.931 0.660988 
0.1 0.546975 0.0128543 564.282 0.660986 
