temp order chi cb u
5 0.0422248 0.000202757 0.0436973 0.00857691 
4.93797 0.0425767 0.000208651 0.0460649 0.00446427 
4.87595 0.0428492 0.000213265 0.0486797 0.00595849 
4.81392 0.0433275 0.000223329 0.0514373 0.00143853 
4.7519 0.0436284 0.000228272 0.0543232 0.00546903 
4.68987 0.0442673 0.000237717 0.0577621 0.00169868 
4.62785 0.0450526 0.000249336 0.0619813 0.00417032 
4.56582 0.045334 0.000256353 0.0651046 0.00499423 
4.5038 0.0457951 0.000264923 0.0697758 0.00577699 
4.44177 0.0464948 0.000276876 0.074517 0.00610181 
4.37975 0.046945 0.000285586 0.0790509 0.0100141 
4.31772 0.0477886 0.000299749 0.0856047 0.00439707 
4.2557 0.0483403 0.000313204 0.0917176 0.00237838 
4.19367 0.0492674 0.000327449 0.0988889 0.0114885 
4.13165 0.0498548 0.0003444 0.107905 -0.00253497 
4.06962 0.0504314 0.000357212 0.115891 0.00668117 
4.00759 0.0516369 0.000376129 0.125782 0.0153266 
3.94557 0.0524979 0.000399821 0.137488 -0.00177687 
3.88354 0.0533353 0.000416756 0.15003 0.00979909 
3.82152 0.0541158 0.00043833 0.163131 0.00454177 
3.75949 0.0556422 0.00046582 0.179169 0.0162121 
3.69747 0.0566954 0.000497217 0.203207 -0.000835045 
3.63544 0.0585059 0.00053561 0.223879 0.00502759 
3.57342 0.0601316 0.000576356 0.251608 0.00364683 
3.51139 0.0618503 0.000622108 0.283036 0.00149905 
3.44937 0.0629905 0.000652804 0.31606 0.00670911 
3.38734 0.0656654 0.000718403 0.35864 0.018666 
3.32532 0.0673738 0.000768656 0.408625 0.0198624 
3.26329 0.069911 0.000843945 0.476841 0.0217864 
3.20127 0.0729666 0.000935057 0.560193 0.0180452 
3.13924 0.0758867 0.00103807 0.652928 0.020888 
3.07722 0.0806516 0.00117861 0.801025 0.0303061 
3.01519 0.0830558 0.00129886 0.974335 0.00923005 
2.95316 0.0887619 0.00150021 1.18669 0.0226711 
2.89114 0.0939825 0.00171701 1.48893 0.0277858 
2.82911 0.102289 0.00207274 1.98851 0.0307751 
2.76709 0.110086 0.00243572 2.64231 0.0281933 
2.70506 0.122234 0.00304322 3.72147 0.0493816 
2.64304 0.13671 0.00383429 5.3541 0.068774 
2.58101 0.155764 0.00487525 8.21746 0.10781 
2.51899 0.185491 0.00707067 14.6798 0.126055 
2.45696 0.239837 0.0106632 30.009 0.219228 
2.39494 0.316778 0.0159664 61.406 0.328249 
2.33291 0.456264 0.0213423 114.777 0.481889 
2.27089 0.637919 0.0147306 121.731 0.602812 
2.20886 0.77352 0.0050667 63.5796 0.649966 
2.14684 0.837655 0.00168678 31.0678 0.660947 
2.08481 0.877127 0.000782884 17.8253 0.664048 
2.02278 0.903572 0.000440524 11.1537 0.665272 
1.96076 0.922808 0.000295902 8.20617 0.665785 
1.89873 0.938636 0.000192589 5.7561 0.666124 
1.83671 0.950735 0.000138639 4.38594 0.666297 
1.77468 0.960629 9.60862e-05 3.23939 0.666423 
1.71266 0.968631 7.26967e-05 2.58838 0.666491 
1.65063 0.97514 5.30724e-05 1.99 0.666545 
1.58861 0.980529 3.98056e-05 1.57071 0.666579 
1.52658 0.984924 2.99988e-05 1.2434 0.666604 
1.46456 0.988397 2.24022e-05 0.975371 0.666622 
1.40253 0.991313 1.66333e-05 0.76093 0.666635 
1.34051 0.993557 1.23429e-05 0.59375 0.666644 
1.27848 0.995335 8.84566e-06 0.447775 0.666651 
1.21646 0.996707 6.35253e-06 0.339071 0.666656 
1.15443 0.997761 4.38465e-06 0.247154 0.66666 
1.09241 0.998528 2.97265e-06 0.177372 0.666662 
1.03038 0.999067 1.93561e-06 0.122576 0.666664 
0.968354 0.999442 1.21184e-06 0.0817396 0.666665 
0.906329 0.999693 7.00446e-07 0.050514 0.666666 
0.844304 0.999839 3.83204e-07 0.0296756 0.666666 
0.782278 0.999926 1.88738e-07 0.0157785 0.666666 
0.720253 0.99997 8.27661e-08 0.00751638 0.666667 
0.658228 0.99999 3.09274e-08 0.00307298 0.666667 
0.596203 0.999997 9.36019e-09 0.00102634 0.666667 
0.534177 0.999999 2.39152e-09 0.00029293 0.666667 
0.472152 1 5.65517e-10 7.84954e-05 0.666667 
0.410127 1 0 0 0.666667 
0.348101 1 0 0 0.666667 
0.286076 1 0 0 0.666667 
0.224051 1 0 0 0.666667 
0.162025 1 0 0 0.666667 
0.1 1 0 0 0.666667 
