temp order chi cb u
5 0.992509 4.89148e-05 0.0514083 0.666347 
4.93797 0.993138 4.51452e-05 0.048134 0.666376 
4.87595 0.993314 4.41371e-05 0.0475649 0.666386 
4.81392 0.994086 3.85913e-05 0.0422242 0.666424 
4.7519 0.994495 3.71811e-05 0.0411835 0.666436 
4.68987 0.994623 3.60544e-05 0.0406452 0.666446 
4.62785 0.995092 3.30846e-05 0.0378704 0.666467 
4.56582 0.995752 2.93167e-05 0.0339863 0.666492 
4.5038 0.995933 2.86024e-05 0.0336291 0.666499 
4.44177 0.996261 2.59288e-05 0.0309717 0.666517 
4.37975 0.996675 2.39203e-05 0.0289059 0.666531 
4.31772 0.996873 2.31242e-05 0.0283547 0.666537 
4.2557 0.997269 2.01158e-05 0.0250098 0.666556 
4.19367 0.997455 1.89124e-05 0.0239633 0.666564 
4.13165 0.997519 1.85534e-05 0.0238187 0.666567 
4.06962 0.997891 1.61841e-05 0.0211067 0.666581 
4.00759 0.998038 1.53167e-05 0.0203214 0.666587 
3.94557 0.998223 1.43105e-05 0.0192799 0.666594 
3.88354 0.998616 1.12498e-05 0.0153574 0.66661 
3.82152 0.998613 1.15579e-05 0.0160472 0.66661 
3.75949 0.998823 9.54159e-06 0.0135136 0.66662 
3.69747 0.999061 7.9095e-06 0.0113192 0.666629 
3.63544 0.999095 7.73953e-06 0.0113317 0.66663 
3.57342 0.999253 6.67603e-06 0.00989756 0.666636 
3.51139 0.999309 6.17732e-06 0.00933652 0.666639 
3.44937 0.999397 5.5285e-06 0.00852648 0.666642 
3.38734 0.999517 4.47187e-06 0.00701795 0.666647 
3.32532 0.999564 4.09835e-06 0.00652017 0.666649 
3.26329 0.999636 3.44573e-06 0.0056267 0.666652 
3.20127 0.99973 2.64641e-06 0.00438747 0.666656 
3.13924 0.999741 2.56055e-06 0.00436385 0.666656 
3.07722 0.999727 2.78427e-06 0.00484046 0.666656 
3.01519 0.99982 1.91638e-06 0.00338901 0.666659 
2.95316 0.999817 1.92318e-06 0.0034211 0.666659 
2.89114 0.999881 1.27868e-06 0.00236766 0.666662 
2.82911 0.999917 9.12311e-07 0.00173748 0.666663 
2.76709 0.999923 8.62537e-07 0.00165152 0.666664 
2.70506 0.999933 7.74509e-07 0.00151965 0.666664 
2.64304 0.999928 8.47861e-07 0.00173634 0.666664 
2.58101 0.999972 3.40221e-07 0.000713393 0.666666 
2.51899 0.99995 6.19296e-07 0.00131269 0.666665 
2.45696 0.999973 3.3756e-07 0.000719564 0.666666 
2.39494 0.999983 2.24145e-07 0.000495252 0.666666 
2.33291 0.999991 1.25543e-07 0.000292066 0.666666 
2.27089 0.999989 1.5046e-07 0.000346311 0.666666 
2.20886 0.999998 2.21045e-08 5.47993e-05 0.666667 
2.14684 0.999997 4.54839e-08 0.000116017 0.666667 
2.08481 1 0 0 0.666667 
2.02278 0.999997 4.82733e-08 0.000123715 0.666667 
1.96076 1 0 0 0.666667 
1.89873 0.999998 2.57149e-08 7.02077e-05 0.666667 
1.83671 0.999998 2.65832e-08 7.50296e-05 0.666667 
1.77468 1 0 0 0.666667 
1.71266 1 0 0 0.666667 
1.65063 0.999998 2.958e-08 9.28993e-05 0.666667 
1.58861 1 0 0 0.666667 
1.52658 1 0 0 0.666667 
1.46456 1 0 0 0.666667 
1.40253 1 0 0 0.666667 
1.34051 1 0 0 0.666667 
1.27848 1 0 0 0.666667 
1.21646 1 0 0 0.666667 
1.15443 1 0 0 0.666667 
1.09241 1 0 0 0.666667 
1.03038 1 0 0 0.666667 
0.968354 1 0 0 0.666667 
0.906329 1 0 0 0.666667 
0.844304 1 0 0 0.666667 
0.782278 1 0 0 0.666667 
0.720253 1 0 0 0.666667 
0.658228 1 0 0 0.666667 
0.596203 1 0 0 0.666667 
0.534177 1 0 0 0.666667 
0.472152 1 0 0 0.666667 
0.410127 1 0 0 0.666667 
0.348101 1 0 0 0.666667 
0.286076 1 0 0 0.666667 
0.224051 1 0 0 0.666667 
0.162025 1 0 0 0.666667 
0.1 1 0 0 0.666667 
